,DateTime,Seq,Temp,'C,Humidity,%
115,2015-6-5,19,20.0,'C,58.0,%
116,2015-6-5,20,18.0,'C,57.5,%
117,2015-6-5,21,15.5,'C,46.5,%
118,2015-6-5,22,14.5,'C,53.0,%
119,2015-6-5,23,14.0,'C,59.0,%
120,2015-6-6,0,12.0,'C,64.5,%
121,2015-6-6,1,12.0,'C,64.5,%
122,2015-6-6,2,11.5,'C,69.0,%
123,2015-6-6,3,11.0,'C,76.0,%
124,2015-6-6,4,10.5,'C,76.5,%
125,2015-6-6,5,11.0,'C,71.0,%
126,2015-6-6,6,12.0,'C,67.0,%
127,2015-6-6,7,13.5,'C,61.0,%
128,2015-6-6,8,15.0,'C,51.0,%
129,2015-6-6,9,16.0,'C,45.0,%
130,2015-6-6,10,16.5,'C,42.0,%
131,2015-6-6,11,17.0,'C,40.5,%
132,2015-6-6,12,18.0,'C,38.5,%
133,2015-6-6,13,18.5,'C,36.0,%
134,2015-6-6,14,19.0,'C,37.0,%
135,2015-6-6,15,20.0,'C,35.0,%
136,2015-6-6,16,20.0,'C,35.0,%
137,2015-6-6,17,18.5,'C,38.5,%
138,2015-6-6,18,18.0,'C,40.0,%
139,2015-6-6,19,17.0,'C,42.0,%
140,2015-6-6,20,16.0,'C,43.5,%
141,2015-6-6,21,15.5,'C,45.0,%
142,2015-6-6,22,14.5,'C,51.5,%
143,2015-6-6,23,13.0,'C,54.0,%
144,2015-6-7,0,12.5,'C,60.0,%
145,2015-6-7,1,11.0,'C,67.0,%
146,2015-6-7,2,11.5,'C,69.0,%
147,2015-6-7,3,10.5,'C,73.5,%
148,2015-6-7,4,10.0,'C,76.0,%
149,2015-6-7,5,10.5,'C,73.5,%
150,2015-6-7,6,12.5,'C,69.5,%
151,2015-6-7,7,13.5,'C,65.0,%
152,2015-6-7,8,14.5,'C,59.0,%
153,2015-6-7,9,15.5,'C,53.5,%
154,2015-6-7,10,16.0,'C,48.0,%
155,2015-6-7,11,17.0,'C,45.0,%
156,2015-6-7,12,18.0,'C,40.0,%
157,2015-6-7,13,18.0,'C,39.5,%
158,2015-6-7,14,19.0,'C,35.0,%
159,2015-6-7,15,19.5,'C,34.0,%
160,2015-6-7,16,20.0,'C,34.0,%
161,2015-6-7,17,19.5,'C,34.0,%
162,2015-6-7,18,19.0,'C,36.0,%
163,2015-6-7,19,18.5,'C,34.5,%
164,2015-6-7,20,14.5,'C,67.5,%
165,2015-6-7,21,13.5,'C,79.5,%
166,2015-6-7,22,13.0,'C,77.0,%
167,2015-6-7,23,12.0,'C,82.0,%
168,2015-6-8,0,13.0,'C,72.0,%
169,2015-6-8,1,12.5,'C,74.5,%
170,2015-6-8,2,11.5,'C,79.5,%
171,2015-6-8,3,11.0,'C,82.0,%
172,2015-6-8,4,10.0,'C,84.5,%
173,2015-6-8,5,10.5,'C,76.5,%
174,2015-6-8,6,11.5,'C,69.0,%
175,2015-6-8,7,13.0,'C,63.0,%
176,2015-6-8,8,14.5,'C,59.0,%
177,2015-6-8,9,16.0,'C,52.0,%
178,2015-6-8,10,16.0,'C,45.0,%
179,2015-6-8,11,16.5,'C,43.5,%
180,2015-6-8,12,17.0,'C,43.5,%
181,2015-6-8,13,17.0,'C,47.0,%
182,2015-6-8,14,16.0,'C,57.0,%
183,2015-6-8,15,15.5,'C,57.0,%
184,2015-6-8,16,15.0,'C,61.0,%
185,2015-6-8,17,14.5,'C,63.0,%
186,2015-6-8,18,14.0,'C,67.0,%
187,2015-6-8,19,13.0,'C,72.0,%
188,2015-6-8,20,13.0,'C,67.0,%
189,2015-6-8,21,12.5,'C,60.0,%
190,2015-6-8,22,11.5,'C,64.5,%
191,2015-6-8,23,10.0,'C,71.0,%
192,2015-6-9,0,9.0,'C,76.0,%
193,2015-6-9,1,9.0,'C,76.0,%
194,2015-6-9,2,9.0,'C,76.0,%
195,2015-6-9,3,9.0,'C,76.0,%
196,2015-6-9,4,9.0,'C,76.0,%
197,2015-6-9,5,9.0,'C,76.0,%
198,2015-6-9,6,10.0,'C,71.0,%
199,2015-6-9,7,11.5,'C,64.5,%
200,2015-6-9,8,12.5,'C,56.0,%
201,2015-6-9,9,13.0,'C,52.5,%
202,2015-6-9,10,14.0,'C,46.0,%
203,2015-6-9,11,14.0,'C,46.0,%
204,2015-6-9,12,14.0,'C,48.0,%
205,2015-6-9,13,14.0,'C,48.0,%
206,2015-6-9,14,14.5,'C,48.0,%
207,2015-6-9,15,14.5,'C,44.5,%
208,2015-6-9,16,14.0,'C,49.5,%
209,2015-6-9,17,14.5,'C,46.5,%
210,2015-6-9,18,14.0,'C,48.0,%
211,2015-6-9,19,13.5,'C,52.5,%
212,2015-6-9,20,12.5,'C,56.0,%
213,2015-6-9,21,12.0,'C,58.0,%
214,2015-6-9,22,12.0,'C,60.0,%
215,2015-6-9,23,11.0,'C,62.0,%
216,2015-6-10,0,11.0,'C,62.0,%
217,2015-6-10,1,11.0,'C,62.0,%
218,2015-6-10,2,10.5,'C,66.5,%
219,2015-6-10,3,10.0,'C,71.0,%
220,2015-6-10,4,10.5,'C,69.0,%
221,2015-6-10,5,11.0,'C,67.0,%
222,2015-6-10,6,11.0,'C,67.0,%
223,2015-6-10,7,11.5,'C,66.5,%
224,2015-6-10,8,13.5,'C,58.5,%
225,2015-6-10,9,14.5,'C,55.0,%
226,2015-6-10,10,15.0,'C,55.0,%
227,2015-6-10,11,15.0,'C,55.0,%
228,2015-6-10,12,16.5,'C,50.0,%
229,2015-6-10,13,17.0,'C,48.0,%
230,2015-6-10,14,17.5,'C,45.0,%
231,2015-6-10,15,18.0,'C,47.0,%
232,2015-6-10,16,17.5,'C,45.0,%
233,2015-6-10,17,17.5,'C,43.5,%
234,2015-6-10,18,17.0,'C,45.0,%
235,2015-6-10,19,16.5,'C,48.5,%
236,2015-6-10,20,15.0,'C,59.0,%
237,2015-6-10,21,14.0,'C,63.0,%
