,DateTime,Seq,Temp,'C,Humidity,%
0,2014-7-1,0,15.0,'C,72.0,%
1,2014-7-1,1,14.5,'C,74.5,%
2,2014-7-1,2,14.0,'C,77.0,%
3,2014-7-1,3,14.0,'C,77.0,%
4,2014-7-1,4,14.0,'C,77.0,%
5,2014-7-1,5,14.5,'C,74.5,%
6,2014-7-1,6,15.5,'C,74.5,%
7,2014-7-1,7,17.5,'C,59.5,%
8,2014-7-1,8,19.0,'C,52.5,%
9,2014-7-1,9,20.0,'C,43.0,%
10,2014-7-1,10,21.0,'C,35.0,%
11,2014-7-1,11,21.0,'C,38.0,%
12,2014-7-1,12,22.0,'C,33.0,%
13,2014-7-1,13,21.5,'C,36.5,%
14,2014-7-1,14,22.0,'C,33.0,%
15,2014-7-1,15,22.0,'C,35.5,%
16,2014-7-1,16,21.0,'C,39.0,%
17,2014-7-1,17,21.0,'C,43.0,%
18,2014-7-1,18,19.5,'C,49.0,%
19,2014-7-1,19,18.0,'C,57.5,%
20,2014-7-1,20,16.5,'C,65.5,%
21,2014-7-1,21,16.0,'C,72.0,%
22,2014-7-1,22,15.5,'C,74.5,%
23,2014-7-1,23,15.0,'C,77.0,%
24,2014-7-2,0,14.5,'C,79.5,%
25,2014-7-2,1,14.0,'C,79.5,%
26,2014-7-2,2,14.0,'C,79.5,%
27,2014-7-2,3,13.0,'C,82.0,%
28,2014-7-2,4,13.0,'C,82.0,%
29,2014-7-2,5,14.0,'C,79.5,%
30,2014-7-2,6,15.0,'C,77.0,%
31,2014-7-2,7,17.0,'C,68.0,%
32,2014-7-2,8,18.0,'C,57.5,%
33,2014-7-2,9,19.5,'C,50.5,%
34,2014-7-2,10,20.0,'C,47.5,%
35,2014-7-2,11,22.0,'C,41.0,%
36,2014-7-2,12,22.5,'C,40.5,%
37,2014-7-2,13,23.5,'C,35.0,%
38,2014-7-2,14,24.0,'C,34.0,%
39,2014-7-2,15,24.0,'C,34.0,%
40,2014-7-2,16,24.5,'C,33.0,%
41,2014-7-2,17,24.0,'C,36.0,%
42,2014-7-2,18,23.0,'C,45.5,%
43,2014-7-2,19,21.5,'C,58.5,%
44,2014-7-2,20,20.0,'C,64.0,%
45,2014-7-2,21,19.0,'C,64.0,%
46,2014-7-2,22,19.0,'C,64.0,%
47,2014-7-2,23,19.0,'C,64.0,%
48,2014-7-3,0,18.0,'C,66.0,%
49,2014-7-3,1,18.0,'C,64.0,%
50,2014-7-3,2,17.0,'C,65.5,%
51,2014-7-3,3,17.0,'C,63.0,%
52,2014-7-3,4,16.0,'C,63.0,%
53,2014-7-3,5,17.0,'C,61.0,%
54,2014-7-3,6,17.5,'C,61.0,%
55,2014-7-3,7,19.5,'C,50.5,%
56,2014-7-3,8,21.0,'C,43.0,%
57,2014-7-3,9,22.5,'C,41.0,%
58,2014-7-3,10,24.0,'C,38.0,%
59,2014-7-3,11,25.0,'C,39.0,%
60,2014-7-3,12,25.5,'C,35.0,%
61,2014-7-3,13,25.5,'C,41.5,%
62,2014-7-3,14,26.0,'C,37.5,%
63,2014-7-3,15,26.0,'C,34.0,%
64,2014-7-3,16,26.0,'C,35.0,%
65,2014-7-3,17,25.5,'C,39.0,%
66,2014-7-3,18,25.0,'C,35.0,%
67,2014-7-3,19,24.5,'C,26.5,%
68,2014-7-3,20,22.5,'C,34.5,%
69,2014-7-3,21,20.5,'C,52.5,%
70,2014-7-3,22,19.5,'C,62.0,%
71,2014-7-3,23,19.0,'C,60.0,%
72,2014-7-4,0,18.0,'C,64.0,%
73,2014-7-4,1,17.0,'C,72.0,%
74,2014-7-4,2,17.0,'C,68.0,%
75,2014-7-4,3,16.0,'C,74.5,%
76,2014-7-4,4,16.0,'C,77.0,%
77,2014-7-4,5,17.0,'C,74.5,%
78,2014-7-4,6,17.5,'C,70.0,%
79,2014-7-4,7,19.0,'C,64.0,%
80,2014-7-4,8,20.5,'C,58.0,%
81,2014-7-4,9,22.5,'C,50.0,%
82,2014-7-4,10,24.5,'C,45.5,%
83,2014-7-4,11,26.0,'C,42.0,%
84,2014-7-4,12,26.0,'C,42.0,%
85,2014-7-4,13,26.0,'C,42.0,%
86,2014-7-4,14,26.0,'C,40.5,%
87,2014-7-4,15,25.5,'C,40.0,%
88,2014-7-4,16,25.0,'C,41.0,%
89,2014-7-4,17,24.0,'C,42.5,%
90,2014-7-4,18,22.5,'C,50.0,%
91,2014-7-4,19,21.5,'C,58.5,%
92,2014-7-4,20,20.5,'C,62.0,%
93,2014-7-4,21,19.5,'C,70.5,%
94,2014-7-4,22,19.0,'C,78.0,%
95,2014-7-4,23,18.0,'C,83.0,%
96,2014-7-5,0,18.0,'C,85.5,%
97,2014-7-5,1,18.0,'C,83.0,%
98,2014-7-5,2,18.0,'C,85.5,%
99,2014-7-5,3,18.0,'C,85.5,%
100,2014-7-5,4,18.0,'C,85.5,%
101,2014-7-5,5,17.0,'C,94.0,%
102,2014-7-5,6,17.0,'C,94.0,%
103,2014-7-5,7,18.0,'C,88.0,%
104,2014-7-5,8,18.5,'C,85.5,%
105,2014-7-5,9,18.5,'C,80.5,%
106,2014-7-5,10,20.0,'C,75.5,%
107,2014-7-5,11,20.5,'C,66.0,%
108,2014-7-5,12,20.5,'C,66.0,%
109,2014-7-5,13,20.5,'C,64.0,%
110,2014-7-5,14,21.5,'C,58.5,%
111,2014-7-5,15,18.0,'C,85.5,%
112,2014-7-5,16,17.0,'C,88.0,%
113,2014-7-5,17,18.0,'C,80.0,%
114,2014-7-5,18,18.5,'C,75.0,%
115,2014-7-5,19,19.0,'C,73.0,%
116,2014-7-5,20,18.5,'C,75.0,%
117,2014-7-5,21,18.0,'C,77.0,%
118,2014-7-5,22,17.0,'C,82.0,%
119,2014-7-5,23,17.0,'C,82.0,%
120,2014-7-6,0,17.0,'C,82.0,%
121,2014-7-6,1,17.0,'C,82.0,%
122,2014-7-6,2,17.0,'C,82.0,%
123,2014-7-6,3,16.5,'C,85.0,%
124,2014-7-6,4,16.0,'C,88.0,%
125,2014-7-6,5,16.5,'C,85.0,%
126,2014-7-6,6,16.0,'C,85.0,%
127,2014-7-6,7,15.5,'C,85.0,%
128,2014-7-6,8,15.0,'C,88.0,%
129,2014-7-6,9,16.0,'C,77.0,%
130,2014-7-6,10,17.0,'C,61.0,%
131,2014-7-6,11,17.5,'C,57.5,%
132,2014-7-6,12,19.0,'C,50.5,%
133,2014-7-6,13,20.0,'C,43.0,%
134,2014-7-6,14,21.0,'C,43.0,%
135,2014-7-6,15,21.0,'C,43.0,%
136,2014-7-6,16,21.0,'C,43.0,%
137,2014-7-6,17,21.0,'C,41.5,%
138,2014-7-6,18,20.5,'C,44.5,%
139,2014-7-6,19,17.5,'C,70.0,%
140,2014-7-6,20,17.0,'C,70.5,%
141,2014-7-6,21,16.0,'C,72.0,%
142,2014-7-6,22,16.0,'C,72.0,%
143,2014-7-6,23,15.0,'C,77.0,%
144,2014-7-7,0,14.5,'C,77.0,%
145,2014-7-7,1,14.0,'C,77.0,%
146,2014-7-7,2,14.0,'C,77.0,%
147,2014-7-7,3,14.0,'C,77.0,%
148,2014-7-7,4,13.5,'C,79.5,%
149,2014-7-7,5,14.0,'C,77.0,%
150,2014-7-7,6,15.5,'C,70.0,%
151,2014-7-7,7,16.5,'C,65.5,%
152,2014-7-7,8,18.0,'C,55.5,%
153,2014-7-7,9,19.5,'C,50.5,%
154,2014-7-7,10,20.0,'C,49.0,%
155,2014-7-7,11,20.5,'C,49.0,%
156,2014-7-7,12,20.0,'C,50.5,%
157,2014-7-7,13,20.0,'C,54.0,%
158,2014-7-7,14,21.0,'C,44.5,%
159,2014-7-7,15,18.0,'C,70.5,%
160,2014-7-7,16,18.5,'C,64.0,%
161,2014-7-7,17,19.5,'C,56.0,%
162,2014-7-7,18,19.5,'C,58.0,%
163,2014-7-7,19,19.0,'C,56.0,%
164,2014-7-7,20,18.5,'C,57.5,%
165,2014-7-7,21,18.0,'C,64.0,%
166,2014-7-7,22,17.0,'C,68.0,%
167,2014-7-7,23,16.0,'C,77.0,%
168,2014-7-8,0,16.0,'C,77.0,%
169,2014-7-8,1,15.0,'C,82.0,%
170,2014-7-8,2,15.0,'C,82.0,%
171,2014-7-8,3,14.5,'C,85.0,%
172,2014-7-8,4,14.0,'C,88.0,%
173,2014-7-8,5,14.0,'C,88.0,%
174,2014-7-8,6,15.0,'C,79.5,%
175,2014-7-8,7,16.0,'C,72.0,%
176,2014-7-8,8,17.5,'C,63.5,%
177,2014-7-8,9,19.0,'C,54.0,%
178,2014-7-8,10,20.0,'C,50.5,%
179,2014-7-8,11,19.0,'C,58.0,%
180,2014-7-8,12,20.0,'C,49.0,%
181,2014-7-8,13,18.5,'C,62.0,%
182,2014-7-8,14,18.5,'C,64.0,%
183,2014-7-8,15,17.0,'C,65.5,%
184,2014-7-8,16,18.0,'C,59.0,%
185,2014-7-8,17,17.5,'C,66.0,%
186,2014-7-8,18,16.5,'C,74.5,%
187,2014-7-8,19,16.0,'C,74.5,%
188,2014-7-8,20,15.5,'C,85.0,%
189,2014-7-8,21,15.0,'C,88.0,%
190,2014-7-8,22,15.0,'C,88.0,%
191,2014-7-8,23,15.0,'C,88.0,%
192,2014-7-9,0,15.0,'C,88.0,%
193,2014-7-9,1,15.0,'C,88.0,%
194,2014-7-9,2,14.5,'C,91.0,%
195,2014-7-9,3,14.0,'C,94.0,%
196,2014-7-9,4,14.0,'C,91.0,%
197,2014-7-9,5,14.0,'C,91.0,%
198,2014-7-9,6,14.5,'C,85.0,%
199,2014-7-9,7,15.0,'C,82.0,%
200,2014-7-9,8,16.0,'C,74.5,%
201,2014-7-9,9,16.5,'C,65.5,%
202,2014-7-9,10,18.0,'C,56.0,%
203,2014-7-9,11,19.0,'C,56.0,%
204,2014-7-9,12,20.5,'C,47.5,%
205,2014-7-9,13,21.0,'C,46.0,%
206,2014-7-9,14,21.0,'C,44.5,%
207,2014-7-9,15,21.5,'C,42.0,%
208,2014-7-9,16,22.5,'C,39.5,%
209,2014-7-9,17,23.0,'C,38.0,%
210,2014-7-9,18,22.5,'C,40.5,%
211,2014-7-9,19,21.0,'C,43.0,%
212,2014-7-9,20,21.0,'C,40.0,%
213,2014-7-9,21,19.5,'C,41.5,%
214,2014-7-9,22,19.0,'C,44.5,%
215,2014-7-9,23,18.0,'C,49.0,%
216,2014-7-10,0,18.0,'C,52.0,%
217,2014-7-10,1,17.5,'C,55.5,%
218,2014-7-10,2,17.0,'C,59.0,%
219,2014-7-10,3,16.5,'C,65.5,%
220,2014-7-10,4,16.0,'C,68.0,%
221,2014-7-10,5,16.0,'C,68.0,%
