,DateTime,Seq,Temp,'C,Humidity,%
0,2014-5-1,0,10.5,'C,84.5,%
1,2014-5-1,1,11.0,'C,82.0,%
2,2014-5-1,2,11.0,'C,82.0,%
3,2014-5-1,3,11.0,'C,85.0,%
4,2014-5-1,4,10.0,'C,97.0,%
5,2014-5-1,5,10.5,'C,97.0,%
6,2014-5-1,6,11.0,'C,91.0,%
7,2014-5-1,7,11.0,'C,94.0,%
8,2014-5-1,8,11.0,'C,94.0,%
9,2014-5-1,9,12.0,'C,88.0,%
10,2014-5-1,10,12.0,'C,94.0,%
11,2014-5-1,11,12.0,'C,94.0,%
12,2014-5-1,12,12.0,'C,94.0,%
13,2014-5-1,13,13.0,'C,88.0,%
14,2014-5-1,14,14.0,'C,82.0,%
15,2014-5-1,15,13.0,'C,82.0,%
16,2014-5-1,16,13.0,'C,82.0,%
17,2014-5-1,17,12.0,'C,94.0,%
18,2014-5-1,18,12.0,'C,94.0,%
19,2014-5-1,19,12.0,'C,94.0,%
20,2014-5-1,20,12.0,'C,94.0,%
21,2014-5-1,21,12.0,'C,94.0,%
22,2014-5-1,22,12.0,'C,94.0,%
23,2014-5-1,23,12.0,'C,94.0,%
24,2014-5-2,0,11.0,'C,91.0,%
25,2014-5-2,1,11.0,'C,88.0,%
26,2014-5-2,2,10.5,'C,91.0,%
27,2014-5-2,3,10.0,'C,94.0,%
28,2014-5-2,4,10.0,'C,94.0,%
29,2014-5-2,5,10.0,'C,87.0,%
30,2014-5-2,6,10.0,'C,87.0,%
31,2014-5-2,7,10.0,'C,84.5,%
32,2014-5-2,8,10.5,'C,79.0,%
33,2014-5-2,9,11.0,'C,76.0,%
34,2014-5-2,10,11.0,'C,73.5,%
35,2014-5-2,11,11.5,'C,71.5,%
36,2014-5-2,12,11.0,'C,71.0,%
37,2014-5-2,13,10.5,'C,76.0,%
38,2014-5-2,14,10.0,'C,82.0,%
39,2014-5-2,15,10.5,'C,73.5,%
40,2014-5-2,16,10.5,'C,76.0,%
41,2014-5-2,17,11.0,'C,67.0,%
42,2014-5-2,18,11.0,'C,67.0,%
43,2014-5-2,19,10.5,'C,66.5,%
44,2014-5-2,20,10.0,'C,68.5,%
45,2014-5-2,21,8.5,'C,71.0,%
46,2014-5-2,22,7.5,'C,73.5,%
47,2014-5-2,23,7.0,'C,71.0,%
48,2014-5-3,0,6.0,'C,76.0,%
49,2014-5-3,1,5.0,'C,76.0,%
