,Temp('C),Humidity(%),Holiday,Watt
0,-0.24000960038401542,0.5583756345177664,1.0,1.0822510822510822
1,-0.24000960038401542,0.5498984771573603,1.0,1.2380952380952381
2,-0.24000960038401542,0.5414720812182741,1.0,1.147186147186147
3,-0.24000960038401542,0.532994923857868,1.0,1.0952380952380953
4,-0.24000960038401542,0.5245177664974617,1.0,1.155844155844156
5,-0.24000960038401542,0.5160913705583756,1.0,1.2077922077922079
6,-0.24000960038401542,0.5076142131979695,1.0,1.1688311688311688
7,-0.24000960038401542,0.4991370558375633,1.0,1.0822510822510822
8,-0.24000960038401542,0.4907106598984772,1.0,1.077922077922078
9,-0.24000960038401542,0.482233502538071,1.0,1.1601731601731602
10,-0.24000960038401542,0.47375634517766485,1.0,1.2077922077922079
11,-0.24000960038401542,0.4653299492385787,1.0,1.2294372294372293
12,-0.24000960038401542,0.4568527918781725,1.0,1.025974025974026
13,-0.24000960038401542,0.44837563451776635,1.0,1.0173160173160174
14,-0.24000960038401542,0.43994923857868024,1.0,0.9913419913419913
15,-0.24000960038401542,0.4314720812182741,1.0,0.7445887445887446
16,-0.24000960038401542,0.42299492385786785,1.0,0.7186147186147186
17,-0.24000960038401542,0.41456852791878174,1.0,0.7229437229437229
18,-0.24000960038401542,0.4060913705583756,1.0,0.7272727272727273
19,-0.24000960038401542,0.3976142131979694,1.0,0.7272727272727273
20,-0.24000960038401542,0.3891878172588833,1.0,0.7922077922077922
21,-0.24000960038401542,0.3807106598984771,1.0,0.8095238095238095
22,-0.24000960038401542,0.3722335025380709,1.0,0.8181818181818182
23,-0.24000960038401542,0.3638071065989848,1.0,0.8051948051948052
24,-0.24000960038401542,0.35532994923857864,1.0,0.9307359307359307
25,-0.24000960038401542,0.3468527918781725,1.0,1.7575757575757576
26,-0.24000960038401542,0.3384263959390863,1.0,1.800865800865801
27,-0.24000960038401542,0.32994923857868014,1.0,3.74025974025974
28,-0.24000960038401542,0.321472081218274,1.0,3.74025974025974
29,-0.24000960038401542,0.3045685279187817,1.0,1.6666666666666667
30,-0.24000960038401542,0.3045685279187817,1.0,1.5238095238095237
31,-0.2439697587903516,0.31304568527918786,1.0,1.4805194805194806
32,-0.24804992199687995,0.321472081218274,1.0,1.5497835497835497
33,-0.25201008040321615,0.32994923857868014,1.0,1.5411255411255411
34,-0.25597023880955233,0.3384263959390863,1.0,0.8008658008658008
35,-0.26005040201608065,0.3468527918781725,1.0,0.5974025974025974
36,-0.2640105604224169,0.35532994923857864,1.0,0.8311688311688312
37,-0.2679707188287533,0.3638071065989848,1.0,1.0476190476190477
38,-0.2720508820352814,0.3722335025380709,1.0,1.0822510822510822
39,-0.2760110404416178,0.3807106598984771,1.0,1.0476190476190477
40,-0.279971198847954,0.3891878172588833,1.0,1.0952380952380953
41,-0.28405136205448234,0.3976142131979694,1.0,1.0692640692640694
42,-0.2880115204608185,0.4060913705583756,1.0,1.077922077922078
43,-0.29197167886715475,0.41456852791878174,1.0,1.0952380952380953
44,-0.29605184207368307,0.42299492385786785,1.0,1.0346320346320346
45,-0.30001200048001925,0.4314720812182741,1.0,0.12987012987012986
46,-0.3039721588863554,0.43994923857868024,1.0,0.12554112554112554
47,-0.3080523220928838,0.44837563451776635,1.0,0.22077922077922077
48,-0.31201248049922,0.4568527918781725,1.0,0.22077922077922077
49,-0.31597263890555616,0.4653299492385787,1.0,0.21645021645021645
50,-0.32005280211208453,0.47375634517766485,1.0,0.22943722943722944
51,-0.3240129605184207,0.482233502538071,1.0,0.22077922077922077
52,-0.3279731189247571,0.4907106598984772,1.0,0.2727272727272727
53,-0.33205328213128527,0.4991370558375633,1.0,0.2727272727272727
54,-0.33601344053762167,0.5076142131979695,1.0,0.08658008658008658
55,-0.33997359894395784,0.5160913705583756,1.0,9.571428571428571
56,-0.34405376215048616,0.5245177664974617,1.0,9.61038961038961
57,-0.3480139205568224,0.532994923857868,1.0,9.593073593073592
58,-0.3519740789631586,0.5414720812182741,1.0,9.623376623376624
59,-0.36001440057602313,0.5583756345177664,1.0,9.623376623376624
60,-0.36001440057602313,0.5583756345177664,1.0,9.562770562770563
61,-0.36001440057602313,0.5583756345177664,1.0,9.554112554112555
62,-0.36001440057602313,0.5583756345177664,1.0,9.545454545454545
63,-0.36001440057602313,0.5583756345177664,1.0,9.567099567099566
64,-0.36001440057602313,0.5583756345177664,1.0,9.558441558441558
65,-0.36001440057602313,0.5583756345177664,1.0,9.54978354978355
66,-0.36001440057602313,0.5583756345177664,1.0,9.545454545454545
67,-0.36001440057602313,0.5583756345177664,1.0,0.11255411255411256
68,-0.36001440057602313,0.5583756345177664,1.0,0.07792207792207792
69,-0.36001440057602313,0.5583756345177664,1.0,0.07792207792207792
70,-0.36001440057602313,0.5583756345177664,1.0,0.06060606060606061
71,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
72,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
73,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
74,-0.36001440057602313,0.5583756345177664,1.0,0.06060606060606061
75,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
76,-0.36001440057602313,0.5583756345177664,1.0,0.047619047619047616
77,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
78,-0.36001440057602313,0.5583756345177664,1.0,0.047619047619047616
79,-0.36001440057602313,0.5583756345177664,1.0,0.05194805194805195
80,-0.36001440057602313,0.5583756345177664,1.0,0.05627705627705628
81,-0.36001440057602313,0.5583756345177664,1.0,0.05194805194805195
