,Temp('C),Humidity(%),Holiday,Watt
0,0.36186186186186187,0.8138138138138138,1.0,0.8328328328328328
1,0.36186186186186187,0.7857857857857857,1.0,0.8591091091091091
2,0.36186186186186187,0.7841191191191191,1.0,0.8424661950085686
3,0.36186186186186187,0.7825344141133614,1.0,0.8348348348348348
4,0.36186186186186187,0.7807807807807807,1.0,0.8438438438438438
5,0.36186186186186187,0.7796146146146146,1.0,0.8553553553553553
6,0.36186186186186187,0.7772772772772772,1.0,0.8458458458458459
7,0.36186186186186187,0.7749399399399399,1.0,0.8328328328328328
8,0.36186186186186187,0.7737737737737738,1.0,0.8318318318318318
9,0.36186186186186187,0.7717717717717718,1.0,0.8448448448448448
10,0.36186186186186187,0.7697697697697697,1.0,0.8553553553553553
11,0.36186186186186187,0.7676026026026026,1.0,0.8583583583583583
12,0.36186186186186187,0.7662662662662663,1.0,0.8218218218218218
13,0.36186186186186187,0.7647647647647647,1.0,0.8198198198198198
14,0.36186186186186187,0.7627627627627628,1.0,0.8153153153153153
15,0.36186186186186187,0.7607607607607607,1.0,0.7597597597597597
16,0.36186186186186187,0.7587587587587588,1.0,0.7537537537537538
17,0.36186186186186187,0.757436035667149,1.0,0.7547547547547547
18,0.36186186186186187,0.7557557557557557,1.0,0.7562562562562563
19,0.36186186186186187,0.7547547547547547,1.0,0.7562562562562563
20,0.36186186186186187,0.7527527527527528,1.0,0.7717717717717718
21,0.36186186186186187,0.7507507507507507,1.0,0.7757757757757757
22,0.36186186186186187,0.7487487487487487,1.0,0.7782782782782782
23,0.36186186186186187,0.7467467467467468,1.0,0.7747747747747747
24,0.36186186186186187,0.7417417417417418,1.0,0.8038038038038038
25,0.36186186186186187,0.7362287660795123,1.0,0.9045712379045713
26,0.36186186186186187,0.7347347347347347,1.0,0.9067185829897693
27,0.36186186186186187,0.7327327327327328,1.0,0.942035765974968
28,0.36186186186186187,0.7307307307307307,1.0,0.942035765974968
29,0.36186186186186187,0.6996996996996997,1.0,0.8996496496496497
30,0.36186186186186187,0.6996996996996997,1.0,0.8916416416416416
31,0.33884630899556273,0.7295645645645645,1.0,0.8888888888888888
32,0.3383383383383383,0.7307307307307307,1.0,0.8931155604502301
33,0.33783783783783783,0.7327327327327328,1.0,0.8926426426426426
34,0.33733733733733734,0.7347347347347347,1.0,0.7737737737737738
